Year,Ցուցանիշ,Units,Value
2015,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,184.1
2016,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,333.8
2017,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,252.7
2018,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,266.9
2019,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,100.3
2020,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,58.6
2021,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,366.4
2022,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,975.7
2023,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,580.4
2024,Օտարերկրյա ուղղակի ներդրումների (ՕՈՒՆ) հոսքերը (մլն. ԱՄՆ դոլար),մլն. ԱՄՆ դոլար,131.6
