Year,Units,Место нахождения,Value
2015,%,,96.0
2016,%,,97.0
2017,%,,97.0
2018,%,,98.0
2019,%,,97.0
2020,%,,99.3
2021,%,,99.3
2015,%,город,96.0
2016,%,город,97.0
2017,%,город,97.0
2018,%,город,98.0
2019,%,город,97.0
2020,%,город,99.2
2021,%,город,89.9
2015,%,село,97.0
2016,%,село,97.0
2017,%,село,97.0
2018,%,село,98.0
2019,%,село,97.0
2020,%,село,99.6
2021,%,село,99.9
2022,%,,98.2
2022,%,город,97.8
2022,%,село,99.0
2023,%,,98.9
2023,%,город,98.7
2023,%,село,99.1
2024,%,,98.3
2024,%,город,98.3
2024,%,село,98.3
